prompt,response_a,response_b
[INST] Should I open a credit card when I turn 18 just to start a credit score? [/INST],"I would recommend opening a credit card. But first make sure you understand what you're doing. First, how will this affect your credit?  Opening credit card accounts in a short period of time is looked upon adversely and, therefore, will affect your ability to obtain credit for up to 2 years. Therefore, you want to spread out the opening of other accounts over a longer period of time before you open this one. Second, what other kinds of accounts are available to you?   Make sure that you shop around and are finding the best deal available.  It is very easy to spend money with a credit card and be surprised by the resulting interest owed. If you're getting the card with your debit card bank, make sure that the interest rates are very competitive and/or that there is no annual fee.  The APR on some debit credit cards varies from a minimum of around 9.99% to as high as 29%!  That's a very big difference. Another option is a Secured Credit Card.  It's a card that is secured with the funds in your checking or savings accounts.  The interest rates on this kind of card can be as low as 12.98%.  However, you're paying for that privilege. In the event that you don't pay your bill, they'll withdraw that same amount from the checking or savings account you used to secure it. In summary, opening an account is best for building your credit and securing your card is fine if you're planning on paying for every purchase and you need to build your credit. But before you decide, check the rates and find the best deal for your situation.","I would recommend having a credit card to help you establish credit, only if you can pay it off in full every month (i.e. only spend what you can afford.) Some cards have some really terrible interest rates, and you should avoid accruing extra interest.  Keep your credit utilization below 30%, and pay down any other debt you have and your credit will only go up.  If you get any other creditors (like a car payment, or any other major purchase), keep all of those accounts as positive as possible.  Once your score is at a decent level, start opening more accounts and then close them.  Also, keep your accounts, even if they have a high balance, open, and closed accounts are a factor. If you aren't worried about your future or your credit history, by all means, go and pay it off in full anyway, but make sure it's the right card for you.  You don't want an annual fee, which will negate any positive effect this card will have on your credit.  In the end, this is just more of a piece of advice that may or may not be needed, and one factor of many that makes up a credit score, which I, personally, find interesting. Good luck! :D"
[INST] Why do shareholders participate in shorting stocks? [/INST],"The purpose of a short sale is to sell a security without owning it, in hope of profiting on the price decrease, and closing the difference and pocketing the profit. To do this successfully one would need to have a margin account or a short selling (also a margin) account of which to borrow the shares.  And by ""borrow"", you're implying the actual number of shares exist somewhere, that in fact the other short sellers haven't sold them to you already and taken the money to go invest.  You'd also need to have a margin balance available to cover the interest that would have come due for the borrowed shares.  Otherwise they would not loan you the shares, as you would have a 100% margin balance and a short position all at the same time with no interest paid. Thus shareholders do not participate in short selling of security - it's not a free lunch they are giving you.","The shareholder lending the shares to the short seller does not need to accept those shares as collateral, that is he is not obliged to accept the shares as payment in the case of default.  His only financial risk is if the short seller fails to return the shares on the date of settlement  If he does return them then the shareholder is in the same position as they have the cash from the deal, so whether he has the shares or not, that is not relevant.   His only financial risk is if the stock price is below the strike price and the short seller does not make an interest payment. In return for lending the shares, the borrower pays a fee.  This fee is usually a % of the shares loaned (as % and not in cash).  Why should I take my cash and buy the shares back instead of doing what my customer does and sell and return the shares? If I'm the shareholder, I'd rather get the money and use it to buy better stock, or sell the shares to somebody else."
[INST] Why do card processing companies discourage “cash advance” activities [/INST],"It's because the credit card industry is trying to get away from being a credit provider to being a provider of ""payment"" solutions. The days of banks providing ""payment solutions"" are rapidly coming to an end, and the credit card industry is trying to take it's place. You see, by providing ""payment solutions"", people will use cards more, and as such it will cost more for people to pay for things using cards, and as such the credit card companies will have more money coming in. The problem with this business model as long as ""cash advances"" are allowed is that people can basically get around paying interest by just withdrawing money via ""cash advance"" from ATMs. Because it can take 1-2 billing cycles for the interest charges to hit your bill, you can basically end up with a ""free"" loan from your credit card company, and that is a problem for them - unless you actually pay off the ""cash advance"" before you are charged interest on it.","There are a few reasons but I assume one of the biggest reasons is that they will have to pay the merchant the processing fee without getting paid from the cardholder and then they have to send the cash to you. I can't think of anything else they will have to pay to other parties involved too, but that's one reason why cash advances are heavily discouraged. In some places, the card issuing bank can even charge $10 to $30 dollars and interest on cash advances and that will only further discourage this behavior."
[INST] Is dividend included in EPS [/INST],Dividends included in EPS. Net Income/Shares outstanding (Dividends paid) should result in a number less than the 'true' earnings per share since dividend is paid out.,"The EPS is the money that has been paid out to you (and therefore subtracted from your net worth) plus the money that would accrue to you at current market price. Consider Apple as an example: at the end of 2013, Apple had $12.24 per share, but if you were a shareholder, you would receive $18.41 per share. The price of your stock is your investment. You get to subtract the cost of that, and take a profit or loss based on whether the current price is above or below what the company is currently distributing to you. To sum up, the EPS includes the dividends paid. You can calculate the dividends yourself by calculating the current stock price. Here's a quick example from Apple's 2013 report:"
[INST] Where should I park my money if I'm pessimistic about the economy and I think there will be high inflation? [/INST],"There are funds such as HCM, which invests in tangible assets such as gold, silver and other commodities.   The idea is this:   If the value of the dollar declines/the dollar loses its value, the value of the investments in the fund should increase.   If this fund has performed poorly over the past few years, it might be because the dollar has been weak so this type of investing (a bet against the dollar) has not been profitable.","Inflation might not have been the best word to use. Inflation is used when the value of currency drops. What you meant was that you believe that we might move to some form of global currency, or that you believe that in general the national currency might weaken. A good bet might be a government-issued treasury bond. Most likely, a long-term one. Another option might be physical gold or silver."
[INST] Why would analysts recommend buying companies with negative net income? [/INST],"While there might be good reasons for the company to take on debt or be in a negative income generating situation, there are also some other reasons that such companies are undervalued or perceived to be undervalued. One such reason would be that the firm is considered to be a good opportunity for ""event driven investors"". While this may sound like a fancy way for calling these investors by a different terminology, such investors in general consider their investments based upon a certain news related to the company e.g. M&A, spin-offs, dividend, asset acquisition, etc. There are multiple studies of these investors. One such one done by G. Bamber, N. Ghose, S. Schmitt, and J. Yasuda that appeared in July 2007 (http://www.nber.edu/papers/w12911) found among other things that companies on the I-Banking buy-side list do not produce significantly better returns than the broad market once controlling for book-to-market and size do. It is also important to note that their sample period was from 1999 to 2004 and the study was done in the months preceding the crash of 2008. Such investors are not only more sensitive to the news and market noise but there has also been evidence that the ""quality"" of the news, as the companies themselves would like the investors to appreciate, such as analyst's recommendations have been found to have significantly less information of a positive nature than any other negative news item such as a management change, a reorganization, or a spin off.  One can safely say that analysts usually do not do a very thorough job at valuing debt or at least do not have the tools to see exactly under which scenario the company would start generating positive cash flow. One such piece of software that tries to solve the valuation problems of companies using debt is the ""net income"" feature on Dividend.sg (http://dividendsg.com). This is a tool the authors are working on over 6 years and it tries to address the valuation problems of companies that may look unattractive in their current state. The valuation is done based upon the company's historical operating cash flow and an ""estimate"" of the current operating margins, a scenario in which the operating margins would reach their historical average levels, etc.","There are a lot more things to make your decision to buy or sell a security then what the company is selling.   The bottom line is simply the point of many financial statements to summarize the financial position at a point in time.   These do not really illustrate any potential future earnings or trends.  The only thing that they do is demonstrate that they are at odds with the current accounting standards and will have to restate their earnings as such. I always consider any bottom line number as suspect.  The bottom line is never at the top of my checklist when making a buying or selling decision. There are many other statements that should be viewed before making any decision.  They include  Income Statements which show net income, cost of goods sold, sales, selling, general and administrative expenses, which all give potential investors a feel for the health of the company they want to invest in.   Balance sheets which show assets and liabilities as compared to the last period, showing how this affects the liquidity and solvency of a company, which in turn will provide a company to stay in business.   Cash Flow Statements which provide a comprehensive measure of cash available to the company and potential to the company. In my opinion, Net Income is one of the most misleading metrics of a company."
[INST] Why would people sell a stock below the current price? [/INST],"It could simply to the case that this particular person wanted to take their profit at that moment and doesn't necessarily want to wait, or that a big purchase of or sale of the stock just occurred somewhere downstream of the market's order book (say in another country's market that doesn't trade a lot compared to what's transacting in the US) and the price has to settle down the global market order for that particular stock.  In either case, it really doesn't change the company's value; the person selling doesn't care what the stock's price changes to afterwards other than as a measure of profit or loss, and the buyer buying it does care (although generally not as much as the seller), but neither of them have power over the price.",No shares on the market to sell.  If you have a million shares on the market and sell 100k now you still have 1 million shares but 200k less shares you expect to sell at a higher price.  This would drive up the price.  If you buy 100k your share price drops.  If you have too many shares to move in the block or can't find any at the price you are willing to pay you drop your bid.
[INST] Conservative ways to save for retirement? [/INST],"I think that the best way to save for retirement is with a tax sheltered retirement savings account. The one that fits in the US seems to be the Traditional 401(k) or IRA. You are allowed to make contributions to a 401(k), in most cases a percentage of your salary, and you won't have to pay income tax on that. I have a Solo 401(k) retirement account through Vanguard that is my main investment account and where I save for retirement. The minimum contribution, like most retirement vehicle, is low as it is based off of salary, so $50. I do contribute the max as the 401(k) plan is tax deductible. For example, this year I qualified for the maximum contribution of $18,000 which comes to around $1,498 a month. I contribute most of my earnings to the retirement account so I really don't notice any tax issues in my day to day finances. If I want to make a ""splurge"" purchase, I just pull money out of my non-retirement accounts such as a savings account. (Note, you can only fund your Traditional 401(k) and IRA by automatic payroll withdrawal or money market deposits. All of the best investment options are through funds and cannot directly accept deposits or withdrawals. If you have the money to invest and wish to direct into a stock exchange, you will need another account to act as a cash account to perform the buying and selling, and the money for that will be taxed as income.)  To learn more see: http://www.401k.com/retirement/tax_planning/tax-deductible-retirement-plan-contributions/ http://learn.moneychimp.com/retirement/how_much_should_i_contribute_to_my_401k.htm https://www.irs.gov/retirement-plans","With your risk tolerance of the stock market and your time horizon, I would lean more towards investing in an index fund or low-cost mutual fund that invests mostly in an index.  I will add that you should know what type of an index you are investing in, so you know the underlying investments you are putting your money into. Some options: https://personal.vanguard.com/pdf/3775.pdf  https://www.schwab.com/public/schwab/nn/content/why_invest_why_index_funds.html  http://www.thebalance.com/index-funds-for-retirement-options-5005502   I am using Vanguard as an example here as they were my preferred choice at the time of this edit (due to their low costs and reputation) I am not in any way endorsing this particular company for you.  It's just that it will give you a general idea of what you can expect.  Do additional research if you choose to go a different route."
[INST] What should my finances look like at 18? [/INST],"It's good that you are trying to take control of your finances, but it looks like you are trying to plan the future on limited information. As 18 year olds we make grand plans. As we get older, we recognize that life has a way of changing (even as we try to stay resolute).  My personal philosophy is to plan for the ""what ifs"". I may plan to pay $1500 a month to live a ""certain lifestyle"", but I won't plan on always living that lifestyle.  I think you should set yourself up to not worry about money. You've listed income as one side of the balance sheet, which is great. However, you've neglected to note your expenses.  First, you should have a basic budget, noting living expenses (rent/mortgage, electricity, water, etc), transportation (car payment), debt obligation (student loans), and entertainment/recreation (everyone needs to have some enjoyment in life). These basic expenses will help you to see where you are right now, and that will help you start your first plan. The plan should take into account things like, how much do you want to make as an over-all income goal. Once you know your current monthly obligations, how much will you need to take in (assuming you plan to spend all of your take home pay on these items?) and then plan for savings. These are just a few of the things to consider. Some of these are necessary for any reasonable plan, others are more subjective, like how much to save. For example, should you pay of student loans before you start saving to buy a car, house, etc. It's tough to plan for what's going to be 10 years from now, so that's why I suggest focusing on today's needs and what to plan to accomplish in say 3-5 years.  Good luck, you are definitely on the right path.","The first thing I recommend is that you need to define your values. Why do you want to have the big paycheck? Do you do it for yourself, or for your family, friends or coworkers? If you want a big paycheck in life, and if you're willing to do the work, a college degree is probably the best tool you can get. You may find you get more satisfaction out of living well, rather than getting that big paycheck.  So the first thing I'd do is define your goals - what is most important to you in life? What do you want out of life? How do you want to live? How do you want to use your time and money? What do you want to accomplish? What do you want to share with your family, friends and others? What do you want to give back? What are you not willing to do? What will you sacrifice to achieve what is important?  Once you figure that out, you'll better understand your financial needs. Your next thought is what do I want in the short term? You're young and the future is much more important than the present. You don't know what you want in the future, that's OK. Start by writing down your goals - 2 month, 3 month, 6 months, a year, and then do a long term goals ( 2 years, and 5 years).  Now it's time to organize your finances by creating a plan: 1. Create a budget for 2 months and 6 months. A budget is a record of all your income and expenses. Start by making two budgets. One budget for 2 months and one budget for 6 months. List your expenses, starting with necessary things first. Rent is necessary, groceries is necessary, utilities are necessary, etc. Make sure you have a separate category for wants like eating out, movies, entertainment, etc. The important thing is to stay on track with your budget. You can be flexible with things until you hit your short term goals, then stick to your budget no matter what. 2. Look for passive income. How can you make money in the future that won't require work? Look for investments now. Pay attention to what your parents are doing, if you don't want to ask it may teach you what not to do in the future. In the short term you'll need to have a plan for managing your expenses every day. You could try creating a budget right now, see if you can stay on track with it for 2 to 3 months. Then update it as needed. There is one important piece you should keep from your parents - a savings account. 3. Start an emergency fund. You need to know what life without a job would be like, in case it happens. You want to save 6 months of your normal living expenses. This is not a savings account, it's an emergency savings account. Make it a high interest account so you can't use the interest to live off of for fun things. 4. Prepare for the future. You will have to retire someday. It might not feel like you need to save for retirement now, because what's another 40 years of work right? The reality is that social security won't support your current lifestyle when you retire. We don't know what social security will look like in 40 years, so preparing for retirement now will make your future much more comfortable. Do the math - how much do you need? Can you invest now and get 10% back? What can you save for the future, now? If you need to ask for help or advice you can read the book ""The Automatic Millionaire"" by David Bach. It's not the only book on the market, but it's a popular one and many people like reading it. 5. Learn about debt. Do you have credit card debt? If you had no debt right now where would that money be instead? Do you have any loans that you pay monthly? If you're lucky, those will get paid in less than 10 years and cost you less than $30,000. If you weren't paying back a debt right now, could you make more than $30,000? Can you make $1,000 a month, with no debt? 6. Buy life insurance. I recommend that everyone at least buy term life insurance. It's a big safety net in case of emergencies in your future. If you have to drop out of college, are you prepared to survive for your next 40 years? You need something to help your future lifestyle stay the same, if possible, or at least maintain the standard of living."
[INST] Alternative means of salary for my employees [/INST],"I would recommend talking to your accountant or your Payroll Service provider. I don't know the laws in Australia, but I do know that in the US salary and wages are subject to various taxes.  Payroll taxes which include social security, medicare and unemployment.  You also pay federal and state taxes on that income that the employees are paid. There are other taxes you pay, such as sales tax if you get reimbursed for business expenses.  If you sell goods, income tax on your sales, and more.  Every payment to employees costs you money.   Why is it important?  Because that money you are spending on the employee pays a salary, not an interest rate. The bank is charging an interest rate for the money you are using for the salaries and wages.  You owe an interest rate for using the money. If you pay cash from your own account, you are not paying bank charges.  Those charges, known as interest, is just additional costs to pass on from you as the bank, to the borrower.  A borrower is anyone that receives cash in exchange for performing services or providing goods.  You are borrowing cash from your savings account.  They are charging you interest for the funds you borrow. Why is it important to tell your accountant?  The government takes a look at your income, expenses and taxes.  They make assumptions on where that money is coming from and how the expenses are generated.  To get the correct tax deductions you need to show them the actual process so they can allocate the expenses properly. If you are giving your employees checks with money drawn from your business savings account, then you are paying cash for those services.  If the expenses are part of the business, then your accountant has to make sure the government is collecting the correct taxes.  When you use a Payroll Service, they automatically make sure the taxes get paid.  When you tell your accountant that you are paying $1000. The accountant assumes you are paying the employee $1000.  If you do that in an unrelated transaction, then the money gets classified differently.  This makes it difficult for the IRS to properly track your money when they are auditing your taxes. Your Payroll Service provider takes care of all of this for you.  They pay the taxes into the appropriate accounts for you.  It takes the stress away from you.  This allows you, as an entrepreneur, to focus on your business.","You can't make them be in this form.  If you would only like to pay them in this form then offer them a job for an ""independent contractor"" and not give them any benefits or insurance.  Or better yet make the minimum wage and then give them a 1099 instead of a W2 for a 1099 employee as the minimum wage should be for an IC. The only other option is to revert to paying them like you do now."
